examType,subject,topic,subtopic,difficulty,questionText,optionA,optionB,optionC,optionD,correctAnswer,solution,tags
IAS-GS,Indian National Movement,Gandhian Era,,Easy,"""Do or Die"" was the slogan of which movement?",Non-Cooperation Movement,Civil Disobedience Movement,Quit India Movement,Swadeshi Movement,C,"Gandhi gave the ""Do or Die"" (Karo ya Maro) call during the Quit India Movement launched on August 8, 1942, demanding an end to British rule.","IAS-GS,Indian National Movement,Gandhian Era"
IAS-GS,Indian National Movement,Gandhian Era,,Easy,The Jallianwala Bagh massacre occurred in:,1917,1919,1921,1930,B,"On April 13, 1919, General Dyer ordered troops to fire on a peaceful gathering at Jallianwala Bagh in Amritsar, killing hundreds of unarmed civilians.","IAS-GS,Indian National Movement,Gandhian Era"
IAS-GS,Indian National Movement,Gandhian Era,,Easy,Who founded the Indian National Congress in 1885?,Dadabhai Naoroji,A.O. Hume,Bal Gangadhar Tilak,Gopal Krishna Gokhale,B,"Allan Octavian Hume, a retired British civil servant, founded the Indian National Congress in 1885. The first session was held in Bombay under W.C. Bonnerjee.","IAS-GS,Indian National Movement,Gandhian Era"
IAS-GS,Indian National Movement,Gandhian Era,,Easy,The Rowlatt Act of 1919 was opposed because it:,Increased taxes,Allowed detention without trial,Banned Indian languages,Closed Indian schools,B,"The Rowlatt Act allowed the British government to imprison any person suspected of terrorism without trial for up to two years, severely curtailing civil liberties.","IAS-GS,Indian National Movement,Gandhian Era"
IAS-GS,Indian and World Geography,Physical Geography,,Medium,The Tropic of Cancer passes through how many Indian states?,6,7,8,9,C,"The Tropic of Cancer (23.5°N) passes through 8 Indian states: Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Jharkhand, West Bengal, Tripura, and Mizoram.","IAS-GS,Indian and World Geography,Physical Geography"
IAS-GS,Indian and World Geography,Physical Geography,,Easy,Which is the longest river in India?,Godavari,Ganga,Brahmaputra,Krishna,B,"The Ganga is the longest river in India at approximately 2,525 km. Godavari (1,465 km) is the longest peninsular river.","IAS-GS,Indian and World Geography,Physical Geography"
IAS-GS,Indian and World Geography,Physical Geography,,Easy,The Western Ghats are also known as:,Sahyadri,Vindhya,Satpura,Aravalli,A,"The Western Ghats are also called Sahyadri. They run along the western coast of India for about 1,600 km from Gujarat to Tamil Nadu.","IAS-GS,Indian and World Geography,Physical Geography"
IAS-GS,Indian and World Geography,Physical Geography,,Easy,Which Indian state has the longest coastline?,Tamil Nadu,Andhra Pradesh,Gujarat,Maharashtra,C,"Gujarat has the longest coastline among Indian states at approximately 1,600 km, followed by Andhra Pradesh and Tamil Nadu.","IAS-GS,Indian and World Geography,Physical Geography"
IAS-GS,Indian and World Geography,Physical Geography,,Medium,The Deccan Plateau is bounded by:,Western Ghats only,Eastern Ghats only,"Western Ghats, Eastern Ghats, and Satpura Range",Himalayas and Vindhyas,C,"The Deccan Plateau is a triangular landmass bounded by the Western Ghats (west), Eastern Ghats (east), and the Satpura-Vindhya ranges (north).","IAS-GS,Indian and World Geography,Physical Geography"
IAS-GS,Indian and World Geography,Physical Geography,,Easy,Monsoon winds in India are caused primarily by:,Rotation of the Earth,Differential heating of land and sea,Gravitational pull of the Moon,Volcanic activity,B,"The Indian monsoon is driven by differential heating between the Indian landmass and the Indian Ocean, creating pressure differences that drive seasonal wind patterns.","IAS-GS,Indian and World Geography,Physical Geography"
IAS-GS,Indian and World Geography,Indian Geography,,Easy,The Chilika Lake is located in:,Kerala,Odisha,Tamil Nadu,Andhra Pradesh,B,Chilika Lake in Odisha is the largest coastal lagoon in India and the second largest in the world. It is a Ramsar wetland site.,"IAS-GS,Indian and World Geography,Indian Geography"
IAS-GS,Indian and World Geography,Indian Geography,,Easy,Which soil type is most suitable for cotton cultivation?,Alluvial soil,Black soil (Regur),Red soil,Laterite soil,B,Black soil (Regur/Black Cotton Soil) is ideal for cotton cultivation due to its high moisture retention capacity. It is found mainly in the Deccan Plateau.,"IAS-GS,Indian and World Geography,Indian Geography"
IAS-GS,Indian Polity and Governance,Constitution,,Easy,The Indian Constitution was adopted on:,"January 26, 1950","November 26, 1949","August 15, 1947","January 26, 1949",B,"The Constitution was adopted on November 26, 1949, and came into effect on January 26, 1950 (Republic Day). August 15, 1947 was Independence Day.","IAS-GS,Indian Polity and Governance,Constitution"
IAS-GS,Indian Polity and Governance,Constitution,,Easy,The Preamble of the Indian Constitution begins with:,"""We, the citizens of India""","""We, the people of India""","""We, the representatives of India""","""We, the government of India""",B,"""We, the people of India"" — this phrase establishes popular sovereignty, meaning the Constitution derives its authority from the people of India.","IAS-GS,Indian Polity and Governance,Constitution"
IAS-GS,Indian Polity and Governance,Constitution,,Easy,Which article abolishes untouchability?,Article 14,Article 15,Article 17,Article 21,C,Article 17 abolishes untouchability and forbids its practice in any form. Enforcement of any disability arising from untouchability is a punishable offence.,"IAS-GS,Indian Polity and Governance,Constitution"
IAS-GS,Indian Polity and Governance,Constitution,,Medium,The concept of Fundamental Duties was added by which amendment?,42nd Amendment,44th Amendment,73rd Amendment,86th Amendment,A,"The 42nd Amendment (1976) added Fundamental Duties under Article 51A, based on the Swaran Singh Committee recommendations. Originally 10 duties, now 11.","IAS-GS,Indian Polity and Governance,Constitution"
IAS-GS,Indian Polity and Governance,Constitution,,Medium,Right to Education is a Fundamental Right under:,Article 19,Article 21,Article 21A,Article 45,C,"Article 21A (added by 86th Amendment, 2002) makes free and compulsory education a Fundamental Right for children aged 6-14 years.","IAS-GS,Indian Polity and Governance,Constitution"
IAS-GS,Indian Polity and Governance,Constitution,,Easy,The President of India is elected by:,Direct election by citizens,Members of Parliament only,An electoral college of elected MPs and MLAs,The Prime Minister,C,The President is elected by an electoral college consisting of elected members of both Houses of Parliament and elected members of State Legislative Assemblies (Article 54).,"IAS-GS,Indian Polity and Governance,Constitution"
IAS-GS,Indian Polity and Governance,Fundamental Rights,,Medium,Which Fundamental Right is available only to Indian citizens and not to foreigners?,Right to Equality (Art. 14),Right to Freedom of Speech (Art. 19),Right to Life (Art. 21),Right against Exploitation (Art. 23),B,"Article 19 rights (speech, assembly, movement, etc.) are available only to citizens. Articles 14, 21, and 23 are available to all persons including foreigners.","IAS-GS,Indian Polity and Governance,Fundamental Rights"
IAS-GS,Indian Polity and Governance,Fundamental Rights,,Easy,The Right to Property was removed as a Fundamental Right by:,42nd Amendment,44th Amendment,73rd Amendment,86th Amendment,B,The 44th Amendment (1978) removed Right to Property from Fundamental Rights. It is now a legal right under Article 300A.,"IAS-GS,Indian Polity and Governance,Fundamental Rights"
IAS-GS,Economic and Social Development,Indian Economy,,Easy,India's GDP is primarily driven by which sector?,Agriculture,Industry,Services,Mining,C,"The services sector contributes approximately 54% of India's GDP, followed by industry (~26%) and agriculture (~20%).","IAS-GS,Economic and Social Development,Indian Economy"
IAS-GS,Economic and Social Development,Indian Economy,,Easy,The Reserve Bank of India was established in:,1935,1947,1950,1969,A,"RBI was established on April 1, 1935, based on the recommendations of the Hilton Young Commission. It was nationalized in 1949.","IAS-GS,Economic and Social Development,Indian Economy"
IAS-GS,Economic and Social Development,Indian Economy,,Easy,NITI Aayog replaced which body?,Finance Commission,Planning Commission,Election Commission,Law Commission,B,"NITI Aayog (National Institution for Transforming India) replaced the Planning Commission on January 1, 2015, shifting from centralized planning to cooperative federalism.","IAS-GS,Economic and Social Development,Indian Economy"
IAS-GS,Economic and Social Development,Indian Economy,,Easy,GST was implemented in India from:,"April 1, 2016","July 1, 2017","January 1, 2018","April 1, 2017",B,"The Goods and Services Tax (GST) was launched on July 1, 2017, through the 101st Constitutional Amendment, replacing multiple indirect taxes.","IAS-GS,Economic and Social Development,Indian Economy"
IAS-GS,Economic and Social Development,Indian Economy,,Medium,The fiscal deficit of the government refers to:,Total expenditure minus total revenue,Total borrowing minus interest payments,Total expenditure minus total receipts excluding borrowings,Revenue expenditure minus revenue receipts,C,Fiscal Deficit = Total Expenditure - Total Receipts (excluding borrowings). It indicates the total borrowing requirement of the government.,"IAS-GS,Economic and Social Development,Indian Economy"
IAS-GS,Economic and Social Development,Indian Economy,,Easy,Which of the following is NOT a direct tax?,Income Tax,Corporate Tax,GST,Capital Gains Tax,C,"GST is an indirect tax levied on goods and services. Direct taxes (Income Tax, Corporate Tax, Capital Gains Tax) are paid directly by the taxpayer to the government.","IAS-GS,Economic and Social Development,Indian Economy"
IAS-GS,Economic and Social Development,Government Schemes,,Easy,The Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) guarantees:,50 days of employment,100 days of employment,150 days of employment,200 days of employment,B,MGNREGA guarantees 100 days of wage employment per year to every rural household whose adult members volunteer to do unskilled manual work.,"IAS-GS,Economic and Social Development,Government Schemes"
IAS-GS,Economic and Social Development,Government Schemes,,Easy,The Pradhan Mantri Jan Dhan Yojana aims at:,Free healthcare,Financial inclusion,Free education,Housing for all,B,"PMJDY (launched 2014) is a financial inclusion program providing universal access to banking facilities with zero-balance accounts, RuPay debit cards, and insurance cover.","IAS-GS,Economic and Social Development,Government Schemes"
IAS-GS,Environmental Ecology,Ecology,,Easy,Which of the following is a biodiversity hotspot in India?,Thar Desert,Western Ghats,Indo-Gangetic Plain,Deccan Plateau,B,"India has 4 biodiversity hotspots: Western Ghats, Eastern Himalayas, Indo-Burma, and Sundaland. The Western Ghats host over 5,000 flowering plant species.","IAS-GS,Environmental Ecology,Ecology"
IAS-GS,Environmental Ecology,Ecology,,Easy,The Kyoto Protocol is related to:,Biodiversity conservation,Greenhouse gas emission reduction,Ozone layer protection,Marine pollution,B,The Kyoto Protocol (1997) is an international treaty committing industrialized nations to reduce greenhouse gas emissions. It was the first binding agreement on climate change.,"IAS-GS,Environmental Ecology,Ecology"
IAS-GS,Environmental Ecology,Ecology,,Medium,The National Action Plan on Climate Change (NAPCC) includes how many missions?,6,8,10,12,B,"NAPCC (2008) includes 8 missions: Solar, Enhanced Energy Efficiency, Sustainable Habitat, Water, Sustaining Himalayan Ecosystem, Green India, Sustainable Agriculture, and Strategic Knowledge.","IAS-GS,Environmental Ecology,Ecology"
IAS-GS,Environmental Ecology,Ecology,,Easy,Coral reefs are formed by:,Volcanic activity,Marine organisms (polyps),Tidal waves,Glacial deposits,B,"Coral reefs are built by colonies of tiny animals called coral polyps, which secrete calcium carbonate to form hard skeletons. They thrive in warm, shallow, clear waters.","IAS-GS,Environmental Ecology,Ecology"
IAS-GS,Environmental Ecology,Ecology,,Easy,The Ramsar Convention is related to:,Wetland conservation,Forest protection,Air pollution,Wildlife trade,A,The Ramsar Convention (1971) is an international treaty for the conservation and sustainable use of wetlands. India has over 75 Ramsar sites.,"IAS-GS,Environmental Ecology,Ecology"
IAS-GS,Environmental Ecology,Ecology,,Hard,Which gas is the largest contributor to the greenhouse effect?,Carbon dioxide,Methane,Water vapor,Nitrous oxide,C,"Water vapor is the most abundant greenhouse gas and contributes most to the natural greenhouse effect. However, CO2 is the most significant human-caused greenhouse gas.","IAS-GS,Environmental Ecology,Ecology"
IAS-GS,Environmental Ecology,Conservation,,Easy,Project Tiger was launched in:,1970,1972,1973,1975,C,"Project Tiger was launched on April 1, 1973, to protect the Bengal tiger. Jim Corbett National Park was the first tiger reserve. India now has 50+ tiger reserves.","IAS-GS,Environmental Ecology,Conservation"
IAS-GS,Environmental Ecology,Conservation,,Easy,The Wildlife Protection Act was enacted in:,1970,1972,1986,1991,B,"The Wildlife Protection Act, 1972, provides for the protection of wild animals, birds, and plants. It established the framework for wildlife sanctuaries and national parks.","IAS-GS,Environmental Ecology,Conservation"
IAS-GS,General Science,Physics,,Easy,The SI unit of force is:,Joule,Newton,Watt,Pascal,B,The Newton (N) is the SI unit of force. 1 Newton = force needed to accelerate 1 kg mass by 1 m/s². Named after Sir Isaac Newton.,"IAS-GS,General Science,Physics"
IAS-GS,General Science,Physics,,Easy,Which phenomenon explains why the sky appears blue?,Reflection,Refraction,Rayleigh scattering,Diffraction,C,"Rayleigh scattering causes shorter wavelengths (blue/violet) to scatter more than longer wavelengths. Our eyes are more sensitive to blue, making the sky appear blue.","IAS-GS,General Science,Physics"
IAS-GS,General Science,Physics,,Easy,A concave mirror is used in:,Rear-view mirrors,Headlights of cars,Periscopes,Kaleidoscopes,B,"Concave mirrors converge light and are used in headlights, searchlights, and solar concentrators. Convex mirrors (diverging) are used in rear-view mirrors.","IAS-GS,General Science,Physics"
IAS-GS,General Science,Biology,,Easy,DNA stands for:,Di-Nucleic Acid,Deoxyribonucleic Acid,Deoxy-Nucleotide Acid,Di-Nitrogen Acid,B,"DNA (Deoxyribonucleic Acid) is the molecule that carries genetic instructions for development, functioning, growth, and reproduction of all known organisms.","IAS-GS,General Science,Biology"
IAS-GS,General Science,Biology,,Easy,Photosynthesis primarily occurs in:,Roots,Stems,Leaves,Flowers,C,"Photosynthesis primarily occurs in leaves, specifically in chloroplasts containing chlorophyll. The process converts CO2 and water into glucose and oxygen using sunlight.","IAS-GS,General Science,Biology"
IAS-GS,General Science,Biology,,Easy,Which vitamin deficiency causes scurvy?,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,C,"Scurvy is caused by Vitamin C (ascorbic acid) deficiency. Symptoms include bleeding gums, weakness, and poor wound healing. Found in citrus fruits and vegetables.","IAS-GS,General Science,Biology"
IAS-GS,General Science,Chemistry,,Easy,The pH of pure water is:,0,7,14,1,B,"Pure water has a pH of 7, which is neutral. pH < 7 is acidic, pH > 7 is basic/alkaline. The pH scale ranges from 0 to 14.","IAS-GS,General Science,Chemistry"
IAS-GS,General Science,Chemistry,,Easy,Which gas is used in fire extinguishers?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,"CO2 is used in fire extinguishers because it is heavier than air, does not support combustion, and smothers the fire by displacing oxygen.","IAS-GS,General Science,Chemistry"
IAS-GS,Current Events,National Affairs,,Easy,The G20 presidency was held by India in:,2022,2023,2024,2025,B,"India held the G20 presidency from December 1, 2022 to November 30, 2023, with the theme ""One Earth, One Family, One Future."" The summit was held in New Delhi.","IAS-GS,Current Events,National Affairs"
IAS-GS,Current Events,National Affairs,,Easy,The Chandrayaan-3 mission successfully landed on the Moon in:,July 2023,August 2023,September 2023,October 2023,B,"Chandrayaan-3 successfully soft-landed on the Moon's south pole on August 23, 2023, making India the fourth country to land on the Moon and the first to land near the south pole.","IAS-GS,Current Events,National Affairs"
IAS-GS,Current Events,National Affairs,,Easy,The Aditya-L1 mission is related to:,Mars exploration,Solar observation,Lunar mapping,Asteroid mining,B,"Aditya-L1 is India's first space-based solar observatory, launched in September 2023. It studies the Sun from the Lagrange point 1 (L1), about 1.5 million km from Earth.","IAS-GS,Current Events,National Affairs"
IAS-GS,Current Events,National Affairs,,Easy,The Uniform Civil Code debate in India relates to:,Uniform tax laws,Common personal laws for all citizens,Uniform education policy,Common criminal laws,B,"The Uniform Civil Code (Article 44, Directive Principles) envisions common personal laws (marriage, divorce, inheritance) for all citizens regardless of religion.","IAS-GS,Current Events,National Affairs"
IAS-GS,Current Events,National Affairs,,Easy,Digital India initiative was launched in:,2014,2015,2016,2017,B,"Digital India was launched on July 1, 2015, to transform India into a digitally empowered society with focus on digital infrastructure, governance, and digital literacy.","IAS-GS,Current Events,National Affairs"
IAS-GS,Current Events,National Affairs,,Easy,The Swachh Bharat Mission was launched on:,"August 15, 2014","October 2, 2014","January 26, 2015","November 19, 2014",B,"Swachh Bharat Mission was launched on October 2, 2014 (Gandhi Jayanti) to achieve universal sanitation coverage and eliminate open defecation by 2019.","IAS-GS,Current Events,National Affairs"
IAS-GS,History of India,Art and Culture,,Easy,The Ajanta Caves are famous for:,Rock-cut temples dedicated to Shiva,Buddhist paintings and sculptures,Jain inscriptions,Mughal architecture,B,"The Ajanta Caves (2nd century BCE to 6th century CE) in Maharashtra contain masterpieces of Buddhist religious art, including paintings and rock-cut sculptures.","IAS-GS,History of India,Art and Culture"
IAS-GS,History of India,Art and Culture,,Easy,Bharatanatyam is a classical dance form originating from:,Kerala,Tamil Nadu,Andhra Pradesh,Karnataka,B,"Bharatanatyam originated in Tamil Nadu and is one of the oldest classical dance forms of India, traditionally performed in Hindu temples.","IAS-GS,History of India,Art and Culture"
IAS-GS,History of India,Art and Culture,,Medium,The Konark Sun Temple was built by:,Ashoka,Narasimhadeva I,Rajaraja Chola,Akbar,B,The Konark Sun Temple in Odisha was built by King Narasimhadeva I of the Eastern Ganga dynasty around 1250 CE. It is designed as a giant chariot of the Sun God.,"IAS-GS,History of India,Art and Culture"
IAS-GS,History of India,Art and Culture,,Easy,Which Mughal emperor built the Taj Mahal?,Akbar,Jahangir,Shah Jahan,Aurangzeb,C,Shah Jahan built the Taj Mahal (1632-1653) in Agra as a mausoleum for his wife Mumtaz Mahal. It is a UNESCO World Heritage Site.,"IAS-GS,History of India,Art and Culture"
IAS-GS,History of India,Art and Culture,,Easy,Kathakali is a classical dance-drama from:,Tamil Nadu,Kerala,Karnataka,Andhra Pradesh,B,"Kathakali originated in Kerala in the 17th century. It combines dance, music, and acting, with elaborate costumes and makeup depicting stories from epics.","IAS-GS,History of India,Art and Culture"
IAS-GS,Indian National Movement,Revolutionary Movement,,Easy,"Bhagat Singh, Rajguru, and Sukhdev were executed on:","March 23, 1931","January 30, 1948","August 15, 1947","April 13, 1919",A,"Bhagat Singh, Rajguru, and Sukhdev were hanged on March 23, 1931, in Lahore Central Jail for the murder of British police officer J.P. Saunders.","IAS-GS,Indian National Movement,Revolutionary Movement"
IAS-GS,Indian National Movement,Revolutionary Movement,,Medium,The Hindustan Socialist Republican Association was founded by:,Bhagat Singh,Chandrashekhar Azad,Ram Prasad Bismil,All of the above contributed,D,"HSRA was founded in 1928 by Chandrashekhar Azad, reorganizing the earlier Hindustan Republican Association (founded by Bismil and others). Bhagat Singh was a key member.","IAS-GS,Indian National Movement,Revolutionary Movement"
IAS-GS,Indian National Movement,Revolutionary Movement,,Medium,The Kakori Train Robbery of 1925 was organized by:,Indian National Congress,Hindustan Republican Association,Muslim League,Ghadar Party,B,"The Kakori conspiracy (August 9, 1925) was organized by HRA members including Ram Prasad Bismil and Ashfaqulla Khan to fund revolutionary activities.","IAS-GS,Indian National Movement,Revolutionary Movement"
IAS-GS,Indian National Movement,Revolutionary Movement,,Easy,Subhas Chandra Bose founded the Indian National Army with support from:,Britain,Japan,Germany,Russia,B,Bose reorganized the Indian National Army (Azad Hind Fauj) in 1943 with Japanese support to fight against British rule in India during World War II.,"IAS-GS,Indian National Movement,Revolutionary Movement"
IAS-GS,Indian National Movement,Revolutionary Movement,,Easy,"The famous slogan ""Inquilab Zindabad"" was popularized by:",Mahatma Gandhi,Bhagat Singh,Jawaharlal Nehru,Subhas Chandra Bose,B,"Bhagat Singh popularized ""Inquilab Zindabad"" (Long Live the Revolution) as a rallying cry for the Indian independence movement.","IAS-GS,Indian National Movement,Revolutionary Movement"
IAS-GS,Indian Polity and Governance,Government Structure,,Easy,The Rajya Sabha can have a maximum of how many members?,238,245,250,260,C,"Rajya Sabha can have a maximum of 250 members — 238 elected by state and UT legislatures, and 12 nominated by the President for expertise in literature, science, art, and social service.","IAS-GS,Indian Polity and Governance,Government Structure"
IAS-GS,Indian Polity and Governance,Government Structure,,Easy,The Chief Justice of India is appointed by:,The Prime Minister,The President,The Parliament,The Law Minister,B,"The President appoints the CJI, conventionally based on seniority among Supreme Court judges. The collegium system recommends appointments.","IAS-GS,Indian Polity and Governance,Government Structure"
IAS-GS,Indian Polity and Governance,Government Structure,,Easy,The 73rd Constitutional Amendment deals with:,Fundamental Rights,Panchayati Raj,Municipalities,Emergency provisions,B,"The 73rd Amendment (1992) constitutionalized Panchayati Raj institutions, providing a three-tier system of local self-governance in rural areas.","IAS-GS,Indian Polity and Governance,Government Structure"
IAS-GS,Indian Polity and Governance,Government Structure,,Easy,Money Bills can be introduced in:,Rajya Sabha only,Lok Sabha only,Either House,Joint session,B,"Under Article 109, Money Bills can only be introduced in Lok Sabha. Rajya Sabha can suggest amendments within 14 days but Lok Sabha may accept or reject them.","IAS-GS,Indian Polity and Governance,Government Structure"
IAS-GS,Indian Polity and Governance,Government Structure,,Medium,The concept of Judicial Review in India is based on:,Article 13,Article 32,Article 226,All of the above,D,"Judicial Review derives from multiple articles: Art. 13 (laws inconsistent with Fundamental Rights are void), Art. 32 (Supreme Court writs), and Art. 226 (High Court writs).","IAS-GS,Indian Polity and Governance,Government Structure"
IAS-GS,Economic and Social Development,Social Issues,,Easy,India's Human Development Index (HDI) is published by:,World Bank,UNDP,IMF,WHO,B,"The HDI is published annually by the United Nations Development Programme (UNDP). It measures life expectancy, education, and per capita income.","IAS-GS,Economic and Social Development,Social Issues"
IAS-GS,Economic and Social Development,Social Issues,,Easy,The Right to Information Act was enacted in:,2003,2005,2007,2010,B,"The RTI Act was enacted on June 15, 2005, replacing the Freedom of Information Act, 2002. It empowers citizens to seek information from public authorities.","IAS-GS,Economic and Social Development,Social Issues"
IAS-GS,Economic and Social Development,Social Issues,,Medium,The National Food Security Act guarantees:,Free food for all,Subsidized food grains to about 2/3 of the population,Food only for BPL families,Free meals in schools only,B,"The NFSA (2013) provides subsidized food grains (rice at ₹3/kg, wheat at ₹2/kg, coarse grains at ₹1/kg) to approximately 75% rural and 50% urban population.","IAS-GS,Economic and Social Development,Social Issues"
IAS-GS,Economic and Social Development,Social Issues,,Easy,The Beti Bachao Beti Padhao scheme addresses:,Child marriage,Declining child sex ratio and girls' education,Women's employment,Maternal health,B,"Launched in 2015, Beti Bachao Beti Padhao addresses the declining Child Sex Ratio and promotes education and empowerment of the girl child.","IAS-GS,Economic and Social Development,Social Issues"
IAS-GS,Economic and Social Development,Social Issues,,Medium,The Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act was enacted in:,1985,1989,1992,1995,B,"The SC/ST (Prevention of Atrocities) Act, 1989, was enacted to prevent atrocities and discrimination against Scheduled Castes and Scheduled Tribes.","IAS-GS,Economic and Social Development,Social Issues"
IAS-GS,General Science,Technology,,Medium,5G technology primarily operates in which frequency bands?,Below 1 GHz only,Sub-6 GHz and millimeter wave (24-100 GHz),Only above 100 GHz,Same as 4G,B,"5G uses sub-6 GHz bands for coverage and millimeter wave (mmWave) bands (24-100 GHz) for high-speed, low-latency applications.","IAS-GS,General Science,Technology"
IAS-GS,General Science,Technology,,Easy,Blockchain technology is best described as:,A type of cryptocurrency,"A distributed, immutable digital ledger",A social media platform,A cloud storage service,B,"Blockchain is a distributed ledger technology where transactions are recorded in blocks linked cryptographically, making them immutable and transparent.","IAS-GS,General Science,Technology"
IAS-GS,General Science,Technology,,Easy,ISRO's PSLV stands for:,Polar Satellite Launch Vehicle,Primary Satellite Launch Vehicle,Planetary Science Launch Vehicle,Powered Satellite Lift Vehicle,A,"PSLV (Polar Satellite Launch Vehicle) is ISRO's workhorse rocket, primarily used to launch satellites into polar and sun-synchronous orbits.","IAS-GS,General Science,Technology"
IAS-GS,General Science,Technology,,Medium,Quantum computing differs from classical computing because it uses:,Faster processors,Qubits that can exist in superposition,More memory,Better algorithms only,B,"Quantum computers use qubits that can exist in superposition (both 0 and 1 simultaneously) and can be entangled, enabling exponentially faster computation for certain problems.","IAS-GS,General Science,Technology"
IAS-GS,General Science,Technology,,Easy,The UPI (Unified Payments Interface) was developed by:,Reserve Bank of India,NPCI (National Payments Corporation of India),State Bank of India,Google,B,UPI was developed by NPCI and launched in 2016. It enables instant real-time inter-bank transactions through mobile phones.,"IAS-GS,General Science,Technology"
IAS-GS,Indian and World Geography,World Geography,,Easy,The Amazon Rainforest is primarily located in:,Africa,South America,Southeast Asia,Central America,B,"The Amazon Rainforest covers about 5.5 million km² primarily in Brazil, with portions in Peru, Colombia, and other South American countries. It is the world's largest tropical rainforest.","IAS-GS,Indian and World Geography,World Geography"
IAS-GS,Indian and World Geography,World Geography,,Easy,The Ring of Fire is associated with:,Volcanic and seismic activity around the Pacific Ocean,Solar flares,Desert formation,Ocean currents,A,The Ring of Fire is a horseshoe-shaped zone around the Pacific Ocean where about 75% of the world's volcanoes are found and 90% of earthquakes occur.,"IAS-GS,Indian and World Geography,World Geography"
IAS-GS,Indian and World Geography,World Geography,,Easy,The Sahara Desert is located in:,Asia,North Africa,South Africa,Middle East,B,"The Sahara is the world's largest hot desert, covering about 9.2 million km² across North Africa, spanning 11 countries.","IAS-GS,Indian and World Geography,World Geography"
