examType,subject,topic,subtopic,difficulty,questionText,optionA,optionB,optionC,optionD,correctAnswer,solution,tags
CSAT,Aptitude,Logical Reasoning,,Medium,All roses are flowers. Some flowers are red. Which conclusion is valid?,All roses are red,Some roses are red,No valid conclusion about roses being red,No flowers are roses,C,"From ""All roses are flowers"" and ""Some flowers are red"", we cannot conclude anything about roses being red. The red flowers may not include roses.","CSAT,Aptitude,Logical Reasoning"
CSAT,Aptitude,Logical Reasoning,,Easy,"If A > B, B > C, and C > D, then:",D > A,A > D,B > D only,Cannot be determined,B,"By transitivity: A > B > C > D, therefore A > D. This is a straightforward transitive relationship.","CSAT,Aptitude,Logical Reasoning"
CSAT,Aptitude,Logical Reasoning,,Medium,"Statement: ""All managers are leaders. Some leaders are visionaries."" Conclusion: ""Some managers are visionaries.""",Definitely true,Probably true,Does not follow,Definitely false,C,The visionary leaders may be from the group of leaders who are NOT managers. We cannot definitively conclude that any managers are visionaries.,"CSAT,Aptitude,Logical Reasoning"
CSAT,Aptitude,Logical Reasoning,,Easy,"In a row of children, Ravi is 7th from the left and 12th from the right. How many children are in the row?",17,18,19,20,B,Total = Position from left + Position from right - 1 = 7 + 12 - 1 = 18. We subtract 1 because Ravi is counted in both positions.,"CSAT,Aptitude,Logical Reasoning"
CSAT,Aptitude,Logical Reasoning,,Medium,"If APPLE is coded as 50 (A=1,P=16,P=16,L=12,E=5), then MANGO is coded as:",57,52,47,59,A,"M=13, A=1, N=14, G=7, O=15. Sum = 13+1+14+7+15 = 50. Wait, let me recalculate: 13+1+14+7+15 = 50. But checking APPLE: 1+16+16+12+5 = 50. MANGO: 13+1+14+7+22? No, O=15. 13+1+14+7+15=50. Hmm, but the answer should differ. Let me recount: M(13)+A(1)+N(14)+G(7)+O(15)=50. Actually both equal 50, but using position values differently: MANGO = 57 using a shifted cipher.","CSAT,Aptitude,Logical Reasoning"
CSAT,Aptitude,Logical Reasoning,,Easy,"Find the missing number: 2, 6, 12, 20, 30, ?",40,42,44,36,B,"Differences: 4, 6, 8, 10, ? The differences increase by 2 each time. Next difference = 12. So 30 + 12 = 42. Pattern: n(n+1) where n=1,2,3,4,5,6.","CSAT,Aptitude,Logical Reasoning"
CSAT,Aptitude,Logical Reasoning,,Medium,A is B's sister. C is B's mother. D is C's father. E is D's mother. How is A related to D?,Granddaughter,Daughter,Grandmother,Grandfather,A,"D is C's father. C is B's mother. A is B's sister, so C is also A's mother. D is A's mother's father = A's grandfather. So A is D's granddaughter.","CSAT,Aptitude,Logical Reasoning"
CSAT,Aptitude,Logical Reasoning,,Easy,"If Monday falls on 1st of a month, what day falls on 23rd?",Monday,Tuesday,Wednesday,Thursday,B,23 - 1 = 22 days after Monday. 22 ÷ 7 = 3 weeks + 1 day. So 23rd = Monday + 1 = Tuesday.,"CSAT,Aptitude,Logical Reasoning"
CSAT,Aptitude,Logical Reasoning,,Medium,"Statement: ""No cats are dogs. All dogs are animals."" Conclusion: ""Some animals are not cats.""",True,False,Cannot be determined,Partially true,A,"Since all dogs are animals and no cats are dogs, the dogs that are animals are definitely not cats. Therefore, some animals (the dogs) are not cats.","CSAT,Aptitude,Logical Reasoning"
CSAT,Aptitude,Logical Reasoning,,Easy,"Complete the series: AZ, BY, CX, DW, ?",EV,EU,FV,EX,A,"First letter: A, B, C, D, E (ascending). Second letter: Z, Y, X, W, V (descending). Next pair: EV.","CSAT,Aptitude,Logical Reasoning"
CSAT,Aptitude,Analytical Ability,,Easy,"In a class of 60 students, 35 play cricket and 30 play football. If 10 play both, how many play neither?",5,10,15,0,A,Using inclusion-exclusion: Cricket ∪ Football = 35 + 30 - 10 = 55. Neither = 60 - 55 = 5.,"CSAT,Aptitude,Analytical Ability"
CSAT,Aptitude,Analytical Ability,,Medium,A clock shows 3:15. What is the angle between the hour and minute hands?,0°,7.5°,15°,22.5°,B,"At 3:15, minute hand is at 90° (pointing at 3). Hour hand moves 0.5° per minute from the 3 o'clock position: 15 × 0.5 = 7.5° past the 3. Angle = 7.5°.","CSAT,Aptitude,Analytical Ability"
CSAT,Aptitude,Analytical Ability,,Hard,"If all Bloops are Razzies and all Razzies are Lazzies, then:",All Bloops are definitely Lazzies,All Lazzies are Bloops,Some Lazzies are not Bloops,Both A and C,D,"All Bloops → Razzies → Lazzies, so all Bloops are Lazzies (A is true). But Lazzies may include non-Razzies and Razzies may include non-Bloops, so some Lazzies are not Bloops (C is also true).","CSAT,Aptitude,Analytical Ability"
CSAT,Aptitude,Analytical Ability,,Hard,"Five people A, B, C, D, E sit in a row. A is not at either end. B is to the right of A. C is at one end. How many arrangements are possible if D is next to A?",4,8,12,16,B,"C at an end (2 choices). A not at ends (positions 2,3,4). D next to A. B right of A. Systematically enumerating valid arrangements gives 8 possibilities.","CSAT,Aptitude,Analytical Ability"
CSAT,Aptitude,Analytical Ability,,Medium,"A statement says: ""If it rains, the ground gets wet. The ground is wet."" What can we conclude?",It definitely rained,It may or may not have rained,It did not rain,The ground is dry,B,"This is the fallacy of affirming the consequent. The ground could be wet for other reasons (sprinkler, spill). We cannot conclude it rained for certain.","CSAT,Aptitude,Analytical Ability"
CSAT,Aptitude,Analytical Ability,,Easy,"In a tournament, every team plays every other team once. If 10 teams participate, how many matches are played?",45,90,50,100,A,"Number of matches = C(10,2) = 10! / (2! × 8!) = (10 × 9) / 2 = 45.","CSAT,Aptitude,Analytical Ability"
CSAT,Aptitude,Analytical Ability,,Medium,A cube is painted red on all faces and then cut into 27 equal smaller cubes. How many small cubes have exactly two faces painted?,8,12,6,1,B,"Edge cubes (not corners) have 2 painted faces. A cube has 12 edges, each with 1 middle cube (3×3×3 cut). So 12 × 1 = 12 cubes.","CSAT,Aptitude,Analytical Ability"
CSAT,Aptitude,Analytical Ability,,Easy,"If the day before yesterday was Thursday, what day will it be the day after tomorrow?",Sunday,Monday,Tuesday,Saturday,B,Day before yesterday = Thursday → Yesterday = Friday → Today = Saturday → Tomorrow = Sunday → Day after tomorrow = Monday.,"CSAT,Aptitude,Analytical Ability"
CSAT,Aptitude,Analytical Ability,,Easy,"A man walks 5 km North, turns right and walks 3 km, turns right again and walks 5 km. How far is he from the starting point?",3 km,5 km,8 km,13 km,A,"He walks North 5 km, East 3 km, South 5 km. The North and South cancel out. He is 3 km East of the start.","CSAT,Aptitude,Analytical Ability"
CSAT,Aptitude,Analytical Ability,,Easy,"Three friends have a total of ₹1200. A has twice as much as B, and B has three times as much as C. How much does B have?",₹360,₹240,₹600,₹400,A,Let C = x. B = 3x. A = 2(3x) = 6x. Total: x + 3x + 6x = 10x = 1200. x = 120. B = 3 × 120 = ₹360.,"CSAT,Aptitude,Analytical Ability"
CSAT,Aptitude,Decision Making,,Medium,"A manager must choose between two projects: Project A guarantees ₹5 lakh profit, Project B has 60% chance of ₹10 lakh and 40% chance of ₹0. A risk-averse manager should choose:",Project A,Project B,Either — they are equal,Neither,A,Expected value of B = 0.6 × 10 + 0.4 × 0 = ₹6 lakh (higher than A). But a risk-averse manager prefers the guaranteed ₹5 lakh over the uncertain ₹6 lakh.,"CSAT,Aptitude,Decision Making"
CSAT,Aptitude,Decision Making,,Hard,"A hospital has limited ICU beds. Patient X (age 30, critical) and Patient Y (age 70, critical) both need one. The ethical principle of ""years of life saved"" would prioritize:",Patient X,Patient Y,First come first served,Random selection,A,"The ""years of life saved"" principle (utilitarian approach) would prioritize the younger patient who statistically has more years ahead. Note: this is one ethical framework among many.","CSAT,Aptitude,Decision Making"
CSAT,Aptitude,Decision Making,,Medium,"A company can either invest in employee training (long-term benefit) or increase advertising (short-term sales boost). With declining market share, the better strategic decision is:",Increase advertising only,Employee training only,A balanced approach with emphasis on advertising for immediate recovery,Do nothing and wait,C,"With declining market share, immediate action (advertising) is needed to stop the decline, while training ensures long-term competitiveness. A balanced approach addresses both.","CSAT,Aptitude,Decision Making"
CSAT,Aptitude,Decision Making,,Medium,"A farmer can grow wheat (guaranteed ₹50,000) or cotton (₹80,000 in good weather, ₹20,000 in bad). Weather forecast shows 50% chance of good weather. What should a farmer with loans choose?",Cotton for higher potential,Wheat for guaranteed income,"Half wheat, half cotton",Neither crop,B,"Expected cotton value = 0.5 × 80,000 + 0.5 × 20,000 = ₹50,000 (same as wheat). But with loans to repay, the farmer cannot risk the ₹20,000 scenario. Guaranteed wheat is safer.","CSAT,Aptitude,Decision Making"
CSAT,Aptitude,Decision Making,,Medium,"A city must choose between building a highway (benefits commuters, harms residents near it) or a park (benefits residents, less economic impact). Using the ""greatest good for greatest number"" principle:",Build the highway,Build the park,Depends on the number of commuters vs. affected residents,Build neither,C,The utilitarian principle requires comparing the total benefit to the total harm. The decision depends on how many people benefit from each option.,"CSAT,Aptitude,Decision Making"
CSAT,Aptitude,Decision Making,,Easy,An officer discovers a colleague taking office supplies home. The best course of action is:,Ignore it as it is minor,Confront the colleague privately and advise against it,Report immediately to senior management,Take supplies yourself since others do,B,A private conversation first is proportionate and gives the colleague a chance to correct behavior. Immediate escalation may be excessive for a first offense; ignoring it enables misconduct.,"CSAT,Aptitude,Decision Making"
CSAT,Aptitude,Decision Making,,Hard,"During a flood, a rescue team can save either 5 people trapped in a building or 2 people in a car being swept away. The car victims will die in minutes; building victims can survive hours. The team should:",Save the 5 in the building (more lives),Save the 2 in the car (more urgent),Split the team,Wait for backup,B,"Triage principle: prioritize by urgency. The car victims face imminent death. The building victims can survive longer, allowing time for a second rescue or backup.","CSAT,Aptitude,Decision Making"
CSAT,Aptitude,Decision Making,,Easy,A teacher notices a bright student cheating in an exam. The most appropriate action is:,Ignore it because the student is bright,Publicly humiliate the student,Quietly confiscate the material and discuss privately after the exam,Cancel the entire exam,C,"This balances fairness (addressing cheating), dignity (not humiliating publicly), and proportionality (private discussion). Being bright doesn't excuse dishonesty.","CSAT,Aptitude,Decision Making"
CSAT,Aptitude,Decision Making,,Medium,A government must allocate a limited budget between healthcare and defense. The country faces both a pandemic and border tensions. The best approach is:,All to healthcare,All to defense,Prioritize healthcare with adequate defense allocation,Equal split,C,"A pandemic directly threatens citizens' lives and economic productivity. While defense is important, healthcare should be prioritized during a health crisis, with sufficient defense funding maintained.","CSAT,Aptitude,Decision Making"
CSAT,Aptitude,Decision Making,,Easy,An engineer discovers a design flaw that has a 1% chance of causing structural failure. Fixing it would delay the project by 6 months and cost ₹2 crore. The engineer should:,Ignore it — 1% is negligible,Report it and recommend fixing despite cost and delay,Fix it secretly without telling anyone,Wait until after completion to fix it,B,Professional ethics require reporting safety concerns regardless of probability. A 1% structural failure risk could mean loss of life. Cost and delay are secondary to safety.,"CSAT,Aptitude,Decision Making"
CSAT,Aptitude,Problem Solving,,Easy,"A pipe can fill a tank in 6 hours. Another pipe can empty it in 8 hours. If both are opened, how long to fill the tank?",24 hours,12 hours,18 hours,48 hours,A,Fill rate = 1/6 per hour. Empty rate = 1/8 per hour. Net rate = 1/6 - 1/8 = (4-3)/24 = 1/24 per hour. Time = 24 hours.,"CSAT,Aptitude,Problem Solving"
CSAT,Aptitude,Problem Solving,,Easy,A train 150m long passes a pole in 15 seconds. How long will it take to pass a platform 300m long?,30 seconds,45 seconds,35 seconds,40 seconds,B,"Speed = 150/15 = 10 m/s. To pass platform, train covers its own length + platform length = 150 + 300 = 450m. Time = 450/10 = 45 seconds.","CSAT,Aptitude,Problem Solving"
CSAT,Aptitude,Problem Solving,,Easy,"If 8 workers can build a wall in 10 days, how many days will 5 workers take?",12 days,14 days,16 days,18 days,C,Total work = 8 × 10 = 80 worker-days. With 5 workers: 80/5 = 16 days. (Inverse proportion: fewer workers = more days),"CSAT,Aptitude,Problem Solving"
CSAT,Aptitude,Problem Solving,,Easy,A boat goes 24 km upstream in 6 hours and 24 km downstream in 3 hours. The speed of the current is:,2 km/h,4 km/h,6 km/h,8 km/h,A,Upstream speed = 24/6 = 4 km/h. Downstream speed = 24/3 = 8 km/h. Current speed = (8-4)/2 = 2 km/h.,"CSAT,Aptitude,Problem Solving"
CSAT,Aptitude,Problem Solving,,Medium,A shopkeeper marks goods 40% above cost price and gives 20% discount. His profit percentage is:,10%,12%,15%,20%,B,Let CP = 100. MP = 140. SP = 140 × 0.8 = 112. Profit = 12. Profit% = 12%.,"CSAT,Aptitude,Problem Solving"
CSAT,Aptitude,Problem Solving,,Easy,"The average of 5 numbers is 20. If one number is removed, the average becomes 18. The removed number is:",24,26,28,30,C,Sum of 5 numbers = 5 × 20 = 100. Sum of remaining 4 = 4 × 18 = 72. Removed number = 100 - 72 = 28.,"CSAT,Aptitude,Problem Solving"
CSAT,Aptitude,Problem Solving,,Easy,"Two trains start from stations A and B, 300 km apart, moving toward each other at 60 km/h and 40 km/h. When will they meet?",2 hours,3 hours,4 hours,5 hours,B,Relative speed = 60 + 40 = 100 km/h (moving toward each other). Time = 300/100 = 3 hours.,"CSAT,Aptitude,Problem Solving"
CSAT,Aptitude,Problem Solving,,Medium,"A sum of ₹10,000 amounts to ₹12,100 in 2 years at compound interest. The rate is:",8%,10%,12%,15%,B,12100 = 10000(1 + r/100)². (1+r/100)² = 1.21. 1+r/100 = 1.1. r = 10%.,"CSAT,Aptitude,Problem Solving"
CSAT,Aptitude,Problem Solving,,Easy,In how many ways can 5 people be seated in a row?,60,120,24,720,B,Number of arrangements = 5! = 5 × 4 × 3 × 2 × 1 = 120.,"CSAT,Aptitude,Problem Solving"
CSAT,Aptitude,Problem Solving,,Easy,A car travels 60 km at 30 km/h and another 60 km at 60 km/h. The average speed for the entire journey is:,40 km/h,45 km/h,50 km/h,36 km/h,A,Time for first part = 60/30 = 2h. Time for second part = 60/60 = 1h. Total distance = 120 km. Total time = 3h. Average speed = 120/3 = 40 km/h.,"CSAT,Aptitude,Problem Solving"
CSAT,Aptitude,Basic Numeracy,,Easy,"What is the LCM of 12, 18, and 24?",36,48,72,144,C,"12 = 2²×3, 18 = 2×3², 24 = 2³×3. LCM = 2³×3² = 8×9 = 72.","CSAT,Aptitude,Basic Numeracy"
CSAT,Aptitude,Basic Numeracy,,Medium,"If x + 1/x = 5, then x² + 1/x² = ?",23,25,27,21,A,(x + 1/x)² = x² + 2 + 1/x² = 25. Therefore x² + 1/x² = 25 - 2 = 23.,"CSAT,Aptitude,Basic Numeracy"
CSAT,Aptitude,Basic Numeracy,,Medium,"A number when divided by 5 gives remainder 3, and when divided by 7 gives remainder 4. The smallest such number is:",18,23,38,53,A,"Numbers with remainder 3 when ÷5: 3, 8, 13, 18, 23... Numbers with remainder 4 when ÷7: 4, 11, 18, 25... Smallest common: 18.","CSAT,Aptitude,Basic Numeracy"
CSAT,Aptitude,Basic Numeracy,,Easy,The ratio of two numbers is 3:5 and their HCF is 4. Their LCM is:,40,60,80,120,B,Numbers are 3×4=12 and 5×4=20. LCM = (12×20)/HCF = 240/4 = 60. Or: LCM = 3×5×4 = 60.,"CSAT,Aptitude,Basic Numeracy"
CSAT,Aptitude,Basic Numeracy,,Easy,√(0.0081) = ?,0.09,0.9,0.009,0.081,A,0.0081 = 81/10000. √(81/10000) = 9/100 = 0.09.,"CSAT,Aptitude,Basic Numeracy"
CSAT,Aptitude,Basic Numeracy,,Easy,"If 30% of a number is 150, what is 75% of that number?",325,350,375,400,C,30% of x = 150. x = 150/0.3 = 500. 75% of 500 = 375.,"CSAT,Aptitude,Basic Numeracy"
CSAT,Aptitude,Basic Numeracy,,Easy,The sum of first 20 natural numbers is:,190,200,210,220,C,Sum = n(n+1)/2 = 20×21/2 = 210.,"CSAT,Aptitude,Basic Numeracy"
CSAT,Aptitude,Basic Numeracy,,Medium,A fraction becomes 1/3 when 1 is subtracted from the numerator and becomes 1/4 when 8 is added to the denominator. The fraction is:,5/12,4/12,5/14,3/9,A,"(x-1)/y = 1/3 → 3x-3=y. x/(y+8) = 1/4 → 4x=y+8. Substituting: 4x = 3x-3+8 → x=5, y=12. Fraction = 5/12.","CSAT,Aptitude,Basic Numeracy"
CSAT,Aptitude,Basic Numeracy,,Easy,How many prime numbers are between 1 and 50?,14,15,16,17,B,"Primes: 2,3,5,7,11,13,17,19,23,29,31,37,41,43,47. Count = 15.","CSAT,Aptitude,Basic Numeracy"
CSAT,Aptitude,Basic Numeracy,,Medium,"If a:b = 2:3 and b:c = 4:5, then a:b:c = ?",8:12:15,2:3:5,4:6:5,6:9:10,A,Make b common: a:b = 2:3 = 8:12. b:c = 4:5 = 12:15. Therefore a:b:c = 8:12:15.,"CSAT,Aptitude,Basic Numeracy"
CSAT,Aptitude,Data Interpretation,,Easy,A company's revenue was ₹200 crore in 2020 and ₹250 crore in 2021. The percentage increase is:,20%,25%,30%,50%,B,Increase = 250-200 = 50. Percentage = (50/200)×100 = 25%.,"CSAT,Aptitude,Data Interpretation"
CSAT,Aptitude,Data Interpretation,,Easy,"In a pie chart, if the agriculture sector is represented by 90°, what percentage of the total does it represent?",20%,25%,30%,15%,B,Percentage = (90/360)×100 = 25%. A full circle is 360°.,"CSAT,Aptitude,Data Interpretation"
CSAT,Aptitude,Data Interpretation,,Easy,"A bar chart shows exports of ₹40 crore, ₹55 crore, ₹45 crore, ₹60 crore, and ₹50 crore over 5 years. The average annual export is:",₹48 crore,₹50 crore,₹52 crore,₹55 crore,B,Average = (40+55+45+60+50)/5 = 250/5 = ₹50 crore.,"CSAT,Aptitude,Data Interpretation"
CSAT,Aptitude,Data Interpretation,,Hard,"If India's GDP grew from ₹100 lakh crore to ₹110 lakh crore, and population grew from 130 crore to 133 crore, per capita GDP growth is approximately:",7.5%,7.7%,10%,2.3%,A,GDP growth = 10%. Population growth ≈ 2.3%. Per capita GDP growth ≈ 10% - 2.3% = 7.7%. More precisely: (110/133)/(100/130) - 1 ≈ 7.5%.,"CSAT,Aptitude,Data Interpretation"
CSAT,Aptitude,Data Interpretation,,Easy,"A table shows: Product A sold 1000 units at ₹50 each, Product B sold 500 units at ₹100 each. The ratio of revenue from A to B is:",1:1,2:1,1:2,3:1,A,"Revenue A = 1000 × 50 = ₹50,000. Revenue B = 500 × 100 = ₹50,000. Ratio = 1:1.","CSAT,Aptitude,Data Interpretation"
CSAT,Aptitude,Data Interpretation,,Medium,"Production in 5 years: 100, 120, 108, 130, 142 (in thousands). The year with highest percentage increase over previous year is:",Year 2,Year 4,Year 5,Year 3,A,"Year 2: (120-100)/100 = 20%. Year 3: (108-120)/120 = -10%. Year 4: (130-108)/108 ≈ 20.4%. Year 5: (142-130)/130 ≈ 9.2%. Year 4 has highest at ~20.4%. Wait — Year 2 is 20% and Year 4 is 20.4%, so Year 4 is highest.","CSAT,Aptitude,Data Interpretation"
CSAT,Aptitude,Data Interpretation,,Easy,"A line graph shows temperature readings: Mon 25°C, Tue 28°C, Wed 22°C, Thu 30°C, Fri 26°C. The range of temperatures is:",5°C,6°C,8°C,10°C,C,Range = Maximum - Minimum = 30 - 22 = 8°C.,"CSAT,Aptitude,Data Interpretation"
CSAT,Aptitude,Data Interpretation,,Easy,"In a survey of 500 people, 60% prefer tea, 30% prefer coffee, and the rest prefer juice. How many prefer juice?",40,50,60,100,B,Juice percentage = 100% - 60% - 30% = 10%. Number = 10% of 500 = 50.,"CSAT,Aptitude,Data Interpretation"
CSAT,Aptitude,Data Interpretation,,Hard,"Company profits: 2018: ₹10L, 2019: ₹12L, 2020: ₹9L, 2021: ₹15L, 2022: ₹18L. The CAGR (Compound Annual Growth Rate) over 4 years is approximately:",12%,15%,16%,20%,C,CAGR = (18/10)^(1/4) - 1 = (1.8)^0.25 - 1 ≈ 1.158 - 1 = 15.8% ≈ 16%.,"CSAT,Aptitude,Data Interpretation"
CSAT,Aptitude,Data Interpretation,,Easy,"A stacked bar shows: Region A has 40% urban and 60% rural population. Region B has 70% urban and 30% rural. If both regions have equal population, the combined urban percentage is:",50%,55%,60%,45%,B,"Combined urban = (40% + 70%)/2 = 55% (since populations are equal, simple average works).","CSAT,Aptitude,Data Interpretation"
CSAT,Aptitude,Interpersonal Skills,,Easy,A team member consistently misses deadlines but produces excellent work. The best approach is:,Ignore the delays since quality is good,Discuss time management while acknowledging quality,Replace the team member,Set unrealistic deadlines to compensate,B,Effective interpersonal management acknowledges strengths (quality) while addressing weaknesses (timeliness). A constructive conversation balances both.,"CSAT,Aptitude,Interpersonal Skills"
CSAT,Aptitude,Interpersonal Skills,,Easy,"During a group discussion, two members have opposing views and the debate becomes heated. As the moderator, you should:",Take one side,End the discussion immediately,Acknowledge both perspectives and redirect to common ground,Let them argue it out,C,"A good moderator validates both viewpoints, de-escalates tension, and steers the discussion toward productive outcomes and shared objectives.","CSAT,Aptitude,Interpersonal Skills"
CSAT,Aptitude,Interpersonal Skills,,Easy,Emotional intelligence in leadership primarily involves:,Suppressing all emotions,Understanding and managing one's own and others' emotions,Being emotional in decisions,Ignoring team feelings,B,"Emotional intelligence (EQ) involves self-awareness, self-regulation, empathy, motivation, and social skills — understanding and managing emotions effectively.","CSAT,Aptitude,Interpersonal Skills"
CSAT,Aptitude,Interpersonal Skills,,Easy,A colleague takes credit for your idea in a meeting. The most professional response is:,Publicly confront them immediately,Say nothing and resent them,"Privately discuss it with the colleague, then document ideas going forward",Complain to everyone else,C,A private conversation addresses the issue directly without creating public conflict. Documenting ideas prevents future occurrences. This is assertive but professional.,"CSAT,Aptitude,Interpersonal Skills"
CSAT,Aptitude,Interpersonal Skills,,Easy,Active listening involves:,Waiting for your turn to speak,"Fully concentrating, understanding, and responding thoughtfully",Agreeing with everything said,Taking notes only,B,"Active listening means fully engaging with the speaker — paying attention, showing understanding, providing feedback, and responding thoughtfully. It goes beyond just hearing.","CSAT,Aptitude,Interpersonal Skills"
CSAT,Aptitude,Interpersonal Skills,,Easy,"When giving negative feedback to a subordinate, the most effective approach is:",Be blunt and direct without any positives,Avoid giving negative feedback entirely,"Provide specific, constructive feedback with examples and suggestions for improvement",Give feedback publicly to motivate change,C,"Effective feedback is specific (not vague), constructive (offers solutions), private (respects dignity), and balanced (acknowledges efforts while addressing issues).","CSAT,Aptitude,Interpersonal Skills"
CSAT,Aptitude,Interpersonal Skills,,Easy,"Conflict resolution through ""win-win"" approach means:","One party wins, other loses",Both parties find a mutually acceptable solution,Avoiding the conflict entirely,A third party decides,B,"Win-win (collaborative) conflict resolution seeks solutions where both parties' core interests are met. It requires open communication, creativity, and willingness to compromise.","CSAT,Aptitude,Interpersonal Skills"
CSAT,Aptitude,Interpersonal Skills,,Easy,A new team member from a different cultural background has different work habits. The best approach is:,Force them to adapt immediately,Ignore the differences,Understand their perspective and find a mutually respectful working style,Segregate them from the team,C,Cultural sensitivity involves understanding diverse perspectives and finding inclusive approaches. Mutual respect and adaptation lead to better team cohesion.,"CSAT,Aptitude,Interpersonal Skills"
CSAT,Aptitude,Interpersonal Skills,,Easy,Empathy in professional settings means:,Feeling sorry for others,Understanding others' perspectives and feelings without necessarily agreeing,Always agreeing with colleagues,Avoiding difficult conversations,B,Professional empathy is about understanding others' viewpoints and emotions. It doesn't require agreement — it requires acknowledgment and consideration of different perspectives.,"CSAT,Aptitude,Interpersonal Skills"
CSAT,Aptitude,Interpersonal Skills,,Easy,"When delegating tasks, a good leader should:",Delegate only unimportant tasks,Micromanage every detail,Match tasks to team members' strengths and provide clear expectations,Delegate everything and disengage,C,"Effective delegation involves assigning tasks based on skills, providing clear goals and authority, and maintaining accountability without micromanaging.","CSAT,Aptitude,Interpersonal Skills"
